,CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Impact,Urgency,Priority,number_cnt,Category,KB_number,No_of_Reassignments,Open_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,has_related_incidents,has_related_changes,Department
44,SUB000456,subapplication,Web Based Application,WBS000073,IM0000075,4,4,4,0.588797918,incident,KM0000741,9.0,2013-03-27 10:07:00,2013-12-30 10:34:00,2013-12-30 10:36:00,37655,Data,3.0,#MULTIVALUE,1.0,0.0,1,0,0
45,SAP000004,application,SAP,WBS000271,IM0000078,5,5,5,0.775691867,request for information,KM0001572,37.0,2013-04-03 12:11:00,2013-10-17 11:43:00,2013-10-17 11:43:00,1459033333,Software,1.0,SD0000103,0.0,0.0,0,0,0
46,SAP000003,application,SAP,WBS000271,IM0000080,4,4,4,0.282283906,incident,KM0001163,26.0,2013-04-04 12:33:00,2014-01-16 14:20:00,2014-01-16 14:21:00,1806278611,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
47,SBA000462,application,Server Based Application,WBS000073,IM0000081,4,3,3,0.461804336,incident,KM0001363,7.0,2013-04-05 10:17:00,2013-12-30 10:39:00,2013-12-30 10:40:00,1924111111,Other,1.0,SD0000105,0.0,0.0,0,0,0
48,WBA000133,application,Web Based Application,WBS000073,IM0000082,4,4,4,0.039607326,incident,KM0001311,6.0,2013-04-05 10:19:00,2013-12-05 12:00:00,2013-12-05 12:00:00,12232,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
49,WBA000124,application,Web Based Application,WBS000088,IM0000083,4,4,4,0.618856225,incident,KM0000611,2.0,2013-04-09 12:49:00,2013-11-08 15:36:00,2013-11-08 15:36:00,1778691667,Software,1.0,SD0000106,0.0,0.0,0,0,0
50,WBA000082,application,Web Based Application,WBS000055,IM0000084,4,4,4,0.572816912,incident,KM0000401,4.0,2013-04-10 13:20:00,2013-11-08 15:41:00,2013-11-08 15:41:00,15668525,No error - works as designed,1.0,SD0000108,0.0,0.0,0,0,0
51,WBA000124,application,Web Based Application,WBS000088,IM0000085,3,4,3,0.462625534,incident,KM0000611,4.0,2013-04-10 15:13:00,2013-11-08 15:46:00,2013-11-08 15:46:00,1575543889,No error - works as designed,1.0,SD0000109,0.0,0.0,0,0,0
52,SAP000004,application,SAP,WBS000271,IM0000088,5,5,5,0.773604774,request for information,KM0001264,32.0,2013-04-16 11:07:00,2013-11-12 12:13:00,2013-11-12 12:13:00,706115,Other,2.0,#MULTIVALUE,1.0,0.0,1,0,0
53,CBA000014,application,Client Based Application,WBS000073,IM0000089,4,4,4,0.001178621,incident,KM0001346,9.0,2013-04-16 14:51:00,2013-11-27 14:23:00,2013-11-27 14:23:00,1638633056,Software,14.0,#MULTIVALUE,1.0,0.0,1,0,0
54,SBA000045,application,Server Based Application,WBS000170,IM0000090,5,5,5,0.283634692,incident,KM0000565,1.0,2013-04-17 09:06:00,2014-01-22 16:19:00,2014-01-22 16:20:00,2197,Unknown,1.0,SD0000113,1.0,1.0,1,1,0
55,SBA000172,application,Server Based Application,WBS000014,IM0000091,4,4,4,0.485062587,incident,KM0000426,1.0,2013-04-17 14:31:00,2013-10-08 11:19:00,2013-10-08 11:25:00,1390555556,Other,1.0,SD0000114,0.0,0.0,0,0,0
56,SBA000607,application,Server Based Application,WBS000263,IM0000092,5,5,5,0.603933029,request for information,KM0000592,12.0,2013-04-17 16:20:00,2014-01-30 09:19:00,2014-01-30 09:19:00,1042109167,Other,1.0,SD0000115,1.0,0.0,1,0,0
57,SUB000002,subapplication,Citrix,WBS000098,IM0000094,4,4,4,0.388681292,incident,KM0001435,4.0,2013-04-19 08:26:00,2013-10-16 12:20:00,2013-10-16 12:20:00,1326903056,Software,2.0,#MULTIVALUE,0.0,0.0,0,0,3
58,STA000033,application,Standard Application,WBS000066,IM0000095,4,4,4,0.523734033,incident,KM0000575,8.0,2013-04-22 12:07:00,2014-01-29 15:31:00,2014-01-29 15:31:00,2082408889,Software,1.0,SD0000119,0.0,0.0,0,0,0
59,WBA000133,application,Web Based Application,WBS000073,IM0000098,4,5,4,0.895752799,incident,KM0000711,1.0,2013-04-24 15:24:00,2013-10-12 16:28:00,2013-10-12 16:28:00,1252089167,Other,1.0,SD0000122,0.0,0.0,0,0,0
60,SBA000782,application,Server Based Application,WBS000043,IM0000099,3,3,3,0.637701727,incident,KM0000220,1.0,2013-04-25 10:20:00,2013-12-09 14:32:00,2013-12-09 14:32:00,1684207778,Other,1.0,SD0000125,0.0,0.0,0,0,0
61,WBA000124,application,Web Based Application,WBS000088,IM0000100,4,4,4,0.20113793,incident,KM0000611,8.0,2013-04-25 14:37:00,2013-11-12 13:32:00,2013-11-12 13:32:00,61785,Other,1.0,SD0000127,1.0,0.0,1,0,0
62,WBA000116,application,Web Based Application,WBS000066,IM0000101,4,4,4,0.268451314,incident,KM0000579,2.0,2013-04-25 14:51:00,2013-11-12 13:25:00,2013-11-12 13:26:00,1479086111,Hardware,1.0,SD0000128,0.0,0.0,0,0,0
63,WBA000124,application,Web Based Application,WBS000088,IM0000103,4,4,4,0.222209962,incident,KM0000611,4.0,2013-04-26 15:33:00,2013-11-12 13:33:00,2013-11-12 13:33:00,1468005278,Other,1.0,SD0000129,0.0,0.0,0,0,0
64,WBA000124,application,Web Based Application,WBS000088,IM0000104,4,4,4,0.979540257,incident,KM0000611,4.0,2013-05-01 11:47:00,2013-11-12 13:34:00,2013-11-12 13:34:00,2534444444,Other,1.0,SD0000131,0.0,0.0,0,0,0
65,WBA000124,application,Web Based Application,WBS000088,IM0000105,5,5,5,0.109542654,incident,KM0000611,9.0,2013-05-03 12:00:00,2014-01-09 14:27:00,2014-01-09 14:27:00,5578327778,Software,1.0,SD0000134,0.0,0.0,0,0,0
66,SUB000508,subapplication,Web Based Application,WBS000162,IM0000106,4,4,4,0.587225966,incident,KM0000553,4.0,2013-05-06 10:11:00,2013-11-12 13:35:00,2013-11-12 13:35:00,1754444444,Other,1.0,SD0000136,0.0,0.0,0,0,0
67,WBA000124,application,Web Based Application,WBS000088,IM0000107,4,4,4,0.186114044,incident,KM0000611,2.0,2013-05-06 13:50:00,2013-11-12 14:03:00,2013-11-12 14:03:00,1407219722,Unknown,1.0,SD0000137,0.0,0.0,0,0,0
68,SBA000458,application,Server Based Application,WBS000073,IM0000109,4,4,4,0.982712191,incident,KM0001539,8.0,2013-05-07 11:44:00,2013-12-20 15:33:00,2013-12-20 15:33:00,1570409167,Other,1.0,SD0000139,0.0,0.0,0,0,0
69,SBA000033,application,Server Based Application,WBS000086,IM0000110,4,4,4,0.697089437,incident,KM0000041,3.0,2013-05-07 11:44:00,2014-01-07 09:50:00,2014-01-07 09:50:00,3568333333,No error - works as designed,1.0,SD0000138,0.0,0.0,0,0,0
70,WBA000124,application,Web Based Application,WBS000088,IM0000111,4,4,4,0.296831585,incident,KM0000611,13.0,2013-05-07 14:04:00,2013-12-05 11:19:00,2013-12-05 11:19:00,1495071111,Other,1.0,SD0000141,0.0,0.0,0,0,0
71,CBA000014,application,Client Based Application,WBS000073,IM0000112,5,5,5,0.965152363,incident,KM0001723,15.0,2013-05-07 15:04:00,2013-10-10 12:53:00,2013-12-09 08:42:00,1248674444,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
72,WBA000124,application,Web Based Application,WBS000088,IM0000113,4,4,4,0.68115697,incident,KM0000611,8.0,2013-05-07 15:12:00,2013-12-05 11:15:00,2013-12-05 11:16:00,6094080556,Other,1.0,SD0000142,1.0,0.0,1,0,0
73,SBA000263,application,Server Based Application,WBS000072,IM0000114,5,5,5,0.06364679,request for information,KM0001116,8.0,2013-05-10 11:04:00,2013-10-21 11:48:00,2013-10-21 11:48:00,1998261111,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
74,WBA000124,application,Web Based Application,WBS000088,IM0000115,3,3,3,0.232393197,incident,KM0000611,2.0,2013-05-13 11:19:00,2013-11-12 13:38:00,2013-11-12 13:39:00,3370972222,Other,1.0,SD0000145,0.0,0.0,0,0,0
75,WBA000024,application,Web Based Application,WBS000027,IM0000117,4,4,4,0.098705575,incident,KM0001424,7.0,2013-05-15 12:34:00,2014-03-05 08:34:00,2014-03-05 08:34:00,5013388889,Software,2.0,#MULTIVALUE,0.0,0.0,0,0,0
76,SBA000765,application,Server Based Application,WBS000300,IM0000120,3,3,3,0.231178197,incident,KM0001274,6.0,2013-05-22 00:42:00,2013-10-10 12:53:00,2014-01-17 15:00:00,1775911667,Unknown,1.0,SD0000149,0.0,0.0,0,0,0
77,WBA000124,application,Web Based Application,WBS000088,IM0000121,4,4,4,0.617566356,incident,KM0000611,2.0,2013-05-22 10:09:00,2013-11-12 13:36:00,2013-11-12 13:36:00,1305462778,Other,1.0,SD0000150,0.0,0.0,0,0,0
78,SBA000834,application,Server Based Application,WBS000223,IM0000122,4,4,4,0.564637939,incident,KM0000979,22.0,2013-05-22 11:21:00,2013-10-10 12:53:00,2013-10-14 14:15:00,8251083333,Other,7.0,#MULTIVALUE,0.0,0.0,0,0,0
79,WBA000124,application,Web Based Application,WBS000088,IM0000123,5,5,5,0.344261805,incident,KM0000611,10.0,2013-05-22 12:01:00,2013-11-12 14:06:00,2013-11-12 14:06:00,1304083889,Other,1.0,SD0000151,0.0,0.0,0,0,0
80,WBA000124,application,Web Based Application,WBS000088,IM0000124,4,4,4,0.231572675,incident,KM0000611,4.0,2013-05-22 14:15:00,2013-11-12 14:05:00,2013-11-12 14:05:00,1301827778,Unknown,1.0,SD0000153,0.0,0.0,0,0,0
81,SBA000176,application,Server Based Application,WBS000311,IM0000125,3,3,3,0.527580856,incident,KM0001274,3.0,2013-05-23 10:48:00,2013-10-10 14:48:00,2013-10-10 14:49:00,5129722222,Other,1.0,SD0000152,0.0,0.0,0,0,0
82,WBA000124,application,Web Based Application,WBS000088,IM0000126,4,4,4,0.765434029,incident,KM0000611,2.0,2013-05-23 14:38:00,2013-11-12 13:37:00,2013-11-12 13:37:00,1290483611,Other,1.0,SD0000155,0.0,0.0,0,0,0
83,SBA000782,application,Server Based Application,WBS000043,IM0000127,3,3,3,0.338412806,incident,KM0001763,1.0,2013-05-24 08:05:00,2013-10-17 14:23:00,2013-10-17 14:23:00,1098304722,Other,3.0,#MULTIVALUE,0.0,0.0,0,0,0
84,WBA000094,application,Web Based Application,WBS000073,IM0000128,4,4,4,0.714684316,incident,KM0001732,0.0,2013-05-24 09:34:00,2013-12-05 08:27:00,2013-12-05 08:28:00,1456698056,Other,3.0,#MULTIVALUE,0.0,0.0,0,0,0
85,SBA000301,application,Server Based Application,WBS000142,IM0000129,4,4,4,0.734281231,request for information,KM0000647,10.0,2013-05-27 10:44:00,2014-01-16 15:12:00,2014-01-16 15:12:00,7628972222,Software,1.0,SD0000156,0.0,0.0,0,0,0
86,SUB000508,subapplication,Web Based Application,WBS000162,IM0000130,4,4,4,0.084297089,incident,KM0000553,2.0,2013-05-27 15:38:00,2013-11-12 13:41:00,2013-11-12 13:41:00,12685475,Other,1.0,SD0000157,0.0,0.0,0,0,0
87,SBA000480,application,Server Based Application,WBS000109,IM0000131,5,5,5,0.48018606,incident,KM0000530,5.0,2013-05-27 16:28:00,2013-11-05 10:36:00,2013-11-05 10:36:00,9966208333,No error - works as designed,1.0,SD0000158,0.0,0.0,0,0,0
88,SAP000003,application,SAP,WBS000271,IM0000132,5,5,5,0.959622117,request for information,KM0001163,12.0,2013-05-29 09:15:00,2013-10-10 13:40:00,2013-10-10 13:40:00,3676269444,Software,1.0,SD0000160,0.0,0.0,0,0,0
89,SBA000263,application,Server Based Application,WBS000072,IM0000133,5,5,5,0.199091024,request for information,KM0001112,6.0,2013-05-30 14:28:00,2013-11-05 15:15:00,2013-11-05 15:15:00,8324694444,Other,2.0,#MULTIVALUE,0.0,0.0,0,0,0
90,WBA000082,application,Web Based Application,WBS000055,IM0000134,3,3,3,0.351627289,incident,KM0000401,2.0,2013-05-31 09:20:00,2013-11-12 13:42:00,2013-11-12 13:43:00,1071944444,Other,1.0,SD0000162,0.0,0.0,0,0,0
91,SUB000508,subapplication,Web Based Application,WBS000162,IM0000135,4,4,4,0.099276903,incident,KM0000553,4.0,2013-06-03 10:09:00,2013-11-12 13:47:00,2013-11-12 13:47:00,1221629167,Other,1.0,SD0000163,0.0,0.0,0,0,0
92,WBA000082,application,Web Based Application,WBS000055,IM0000136,4,4,4,0.992261495,incident,KM0000401,2.0,2013-06-04 09:25:00,2013-11-12 13:38:00,2013-11-12 13:38:00,1211729444,Other,1.0,SD0000164,0.0,0.0,0,0,0
93,WBA000124,application,Web Based Application,WBS000088,IM0000137,4,4,4,0.360881069,incident,KM0000611,2.0,2013-06-04 10:00:00,2013-11-12 13:42:00,2013-11-12 13:42:00,1211214167,Other,1.0,SD0000165,0.0,0.0,0,0,0
94,SBA000045,application,Server Based Application,WBS000170,IM0000139,4,4,4,0.56691083,incident,KM0000565,3.0,2013-06-04 16:13:00,2014-01-29 10:47:00,2014-01-29 10:47:00,7320833333,Unknown,2.0,#MULTIVALUE,1.0,0.0,1,0,0
95,SUB000545,subapplication,Web Based Application,WBS000073,IM0000140,5,5,5,0.399095833,incident,KM0000795,1.0,2013-06-05 08:24:00,2013-11-20 16:43:00,2013-11-20 16:43:00,1268319167,Software,1.0,SD0000169,0.0,0.0,0,0,0
96,SAP000004,application,SAP,WBS000271,IM0000142,5,5,5,0.602360706,request for information,KM0001269,15.0,2013-06-06 08:54:00,2013-10-23 17:21:00,2013-10-23 17:21:00,6301172222,Questions,2.0,#MULTIVALUE,0.0,0.0,0,0,0
97,SBA000834,application,Server Based Application,WBS000223,IM0000143,4,4,4,0.428121508,incident,KM0001509,6.0,2013-06-06 11:14:00,2013-12-04 14:54:00,2013-12-04 14:54:00,1320549722,Operator error,4.0,#MULTIVALUE,0.0,0.0,0,0,0
98,WBA000133,application,Web Based Application,WBS000073,IM0000145,4,5,4,0.587638286,incident,KM0000711,15.0,2013-06-10 08:53:00,2013-11-15 15:27:00,2013-11-15 15:27:00,7014891667,Unknown,1.0,SD0000171,0.0,0.0,0,0,0
99,STA000033,application,Standard Application,WBS000066,IM0000146,3,3,3,0.939614352,incident,KM0000575,3.0,2013-06-10 13:00:00,2014-01-29 14:30:00,2014-01-29 14:31:00,1575072222,Other,1.0,SD0000173,0.0,0.0,0,0,0
100,WBA000082,application,Web Based Application,WBS000055,IM0000147,4,4,4,0.139540592,incident,KM0000401,26.0,2013-06-10 16:33:00,2013-11-12 14:18:00,2013-11-12 14:18:00,1163259722,No error - works as designed,1.0,SD0000175,0.0,0.0,0,0,0
101,WBA000124,application,Web Based Application,WBS000088,IM0000148,4,4,4,0.402756938,incident,KM0000611,2.0,2013-06-10 16:44:00,2013-11-12 13:42:00,2013-11-12 13:43:00,1162483333,Other,1.0,SD0000176,0.0,0.0,0,0,0
102,WBA000124,application,Web Based Application,WBS000088,IM0000149,4,4,4,0.884999664,incident,KM0000611,5.0,2013-06-11 10:28:00,2013-10-16 14:09:00,2013-10-16 14:09:00,3120383333,Software,2.0,#MULTIVALUE,0.0,0.0,0,0,0
104,WBA000124,application,Web Based Application,WBS000088,IM0000152,4,4,4,0.686274493,incident,KM0000611,7.0,2013-06-12 16:48:00,2013-11-12 14:05:00,2013-11-12 14:05:00,1140922778,Other,1.0,SD0000180,0.0,0.0,0,0,0
105,WBA000124,application,Web Based Application,WBS000088,IM0000153,4,4,4,0.135839878,incident,KM0000611,2.0,2013-06-12 14:57:00,2013-11-12 13:44:00,2013-11-12 13:44:00,1143280556,Other,1.0,SD0000179,0.0,0.0,0,0,0
106,SUB000465,subapplication,Web Based Application,WBS000073,IM0000154,4,4,4,0.289314694,incident,KM0000778,2.0,2013-06-13 10:23:00,2013-11-04 14:00:00,2013-11-04 14:01:00,1074620833,Unknown,5.0,#MULTIVALUE,0.0,0.0,0,0,0
107,SBA000782,application,Server Based Application,WBS000043,IM0000155,3,3,3,0.527348581,incident,KM0001763,1.0,2013-06-13 10:42:00,2013-12-09 15:05:00,2013-12-09 15:05:00,1337891667,Other,1.0,SD0000182,0.0,0.0,0,0,0
108,SAP000003,application,SAP,WBS000271,IM0000156,5,5,5,0.65449422,incident,KM0001163,9.0,2013-06-13 11:48:00,2013-12-18 09:09:00,2013-12-18 09:10:00,1229582222,Other,1.0,SD0000183,0.0,0.0,0,0,0
109,SBA000834,application,Server Based Application,WBS000223,IM0000157,5,5,5,0.643286309,incident,KM0000979,2.0,2013-06-14 13:42:00,2013-11-21 10:24:00,2013-11-21 10:25:00,1193710556,Software,2.0,#MULTIVALUE,0.0,0.0,0,0,0
